sentence,target_word,substitutions_votes
"""With the high Gulf pressures - a ship reported a pressure of 1015.5 millibars less than 60 m from the storm center at the time it was upgraded to a tropical storm - Alicia was unable to gain size , staying very small , but generated faster winds , and became a Category 1 hurricane on August 16""",generated,created:25 made:13 yielded:1 produced:6 formed:1 powered:1 had:1 achieved:1 built:1 developed:1
"""Das Rheingold is the first of the four operas that comprise Der Ring des Nibelungen , by Richard Wagner .""",comprise,make up:25 makes:1 includes:2 consist of:1 compose:2 form:6 contain:5 include:4 contains:1 agreed:1 included:1 cover:1 create:1
A frenulum is a small fold of tissue that secures or restricts the motion of a mobile organ in the body .,secures,stops:2 holds:27 ties:1 binds:1 fixed:1 protects:2 tightens:2 keeps:1 prevents:1 locks:2 confines:1 fastens:3 fixes:2 limits:1 restrains:1 keep:1 traps:1 guards:1
"""Helen Hunt has been recognized extensively in her career . In 1998 she become the second actress to win a Golden Globe Award , an Academy Award and an Emmy Award in the same year .""",career,job:25 line of work:1 work:9 profession:5 field:2 life:6 honored:1 employment:1 occupation:1
"""When Wotan refuses to abandon his `` free hero '' , Fricka lays bare his self-deception : Siegmund is in no sense independent since his fate has been pre-ordained by Wotan , who has even indirectly led him to find the magic sword .""",refuses,does not want:3 declines:22 denies:4 decides not to:1 protests:1 ceases:1 disallowed:1 stopped:1 fails:1 declined:1 doesn't:2 stops:1 says no:1 denied:1 doesn't want:1 refrain:1 disagrees:1 decline:2 decides not:1 won't:1 avoids:3
"""The storm never approached land during its lifespan , and no damage or casualties were reported .""",casualties,deaths:36 injuries:10 accidents:1 victims:3 fatalities:1
"""The purpose of public speaking can range from simply transmitting information , to motivating people to act , to simply telling a story .""",transmitting,sending:18 giving:13 communicating:4 delivering:1 conveying:2 transferring:4 passing:1 moving:1 forwarding:1 spreading:2 sharing:1 relaying:2 broadcasting:1
"""Published by Tor Books , it was released on August 15 , 1994 in hardcover , and in paperback on July 15 , 1997 .""",released,initiated:1 sent:2 created:1 sold:14 made available:1 delivered:3 available:4 premiered:1 dispersed:1 put out:4 distributed:3 given:1 launched:1 published:2 revealed:1 dispensed:1 issued:2 available first:1 let out:1 provided:1 opened:1 let go:1 dropped:1 able to be sold:1 made public:1
"""In many circumstances , these investments can be less expensive than fossil fuel energy systems .""",circumstances,situations:29 instances:6 cases:9 ways:2 examples:1 times:1 scenarios:1 events:2
"""Following the death of Schidlof from a heart attack in 1987 , the Amadeus Quartet disbanded .""",disbanded,dissolved:6 scattered:1 broke up:22 quit:1 separated:11 died:1 ended:3 split up:1 stopped:1 split:3 broke apart:1
"""By 1960 he had developed the short story into a screenplay , and envisaged it as containing a suitable role for Monroe .""",envisaged,imagined:20 pictured:7 saw:13 considered:1 anticipated:2 conceived:1 good:1 envisioned:3 predicted:1 seen:1 featured:1
"""With poor sales of the A340-200 , Airbus decided to use the fuselage of the A340-200 with the wings and engines of the A330-300 .""",fuselage,trunk:1 cabin:5 body:29 main parts:1 mass:1 fuel tank:2 frame:3 core:1 gas tank:2 front:1 tank:2 bulk:2 center:1
"""The last event was held on June 11 , 2000 , not to be held again due to the acquisition of WCW by World Wrestling Federation .""",acquisition,buying:4 purchase:22 ownership:3 addition:3 gain:8 gaining:4 obtaining:2 receiving:2 attainment:1 attaining:1 acquirement:1
Kowal suggested the name and the IAU endorsed it in 1975 .,endorsed,approved:15 supported:21 okayed:2 recommended:1 adopted:1 backed:2 accepted:4 ratified:1 passed:1 authorized:2 favored:1
Dry air wrapping around the southern periphery of the cyclone eroded most of the deep convection by early on September 12 .,periphery,surroundings:1 outskirts:2 edge:27 outside:2 area:1 border:8 side:3 part:2 rim:1 circumference:1 edges:1 end:2
"""Brief additional internal links are generally tolerated when used to facilitate communication or to provide general information , but undesirable if seen as canvassing for some purpose .""",tolerated,endured:1 bared:1 allowed:19 accepted:25 put up with:1 okay:2 used:1 acceptable:1
"""Alfonso drops the marriage contract in front of the officers , and , when they read it , they become enraged .""",enraged,mad:6 furious:5 upset:2 angry:31 angered:6 infuriated:1
"""The Overland Expedition , also called the Overland Relief Expedition or Point Barrow-Overland Relief Expedition , was an expedition in the winter of 1897-1898 by officers of the United States Revenue Cutter Service to save the lives of 265 whalers trapped in the Arctic Ocean by ice around their ships near Point Barrow , Alaska .""",expedition,journey:17 adventure:7 trip:13 excursion:1 exploration:1 quest:3 mission:2 outing:1 voyage:3 tour:1 trek:1 undertaking:1
"""Located on the River Pedieos and situated almost in the center of the island , it is the seat of government as well as the main business center .""",situated,located:24 placed:12 positioned:5 settles:1 fixed:2 settled:1 sitting:3 at:1 established:1 based:1
"""Iero thought that it would be difficult to promote the album himself , if released through his own label , with his current obligations to My Chemical Romance and the other bands signed to his label .""",obligations,duties:16 commitments:7 promise:1 agreements:2 ties:3 promises:3 commitment:2 responsibility:2 debt:1 business:1 loyalty:1 responsibilities:6 requirements:3 debts:1 connections:1 duty:1
"""It has now been determined that Europa is a prograde rotator , but the exact direction in which its pole points remains ambiguous .""",ambiguous,uncertain:6 confusing:1 unclear:22 random:1 unknown:12 vague:5 hidden:1 cloudy:1 indeterminate:1 unsure:1
"""The Bishops ceded the Oversticht to the Emperor Charles V in 1528 , who styled himself `` Lord of Overijssel '' , thereby giving the province its modern name .""",ceded,gave up:6 detached:1 left:1 gave:19 handed over:1 surrendered:16 yielded:2 assigned:1 allowed:1 abandoned:1 granted:1 transfer:1
"""Many parts of Odessa were damaged during its siege and recapture on 10 April 1944 , when the city was finally liberated by the Red Army .""",siege,attack:19 blockade:6 capture:6 invasion:2 battle:4 storm:1 surrounding:2 war:1 fighting:1 takeover:2 holding:1 storming:1 barricade:1 raid:1 conquer:1 hold:1 blockage:1
"""The city was first founded by the British in 1827 , who leased the island from Spain during the colonial period .""",leased,rented:40 loaned:4 borrowed:4 secured:1 gave:1 let:1
"""In reference to the landscape , bush describes a wooded area , intermediate between a shrubland and a forest , generally of dry and nitrogen-poor soil , mostly grassless , thin to thick woody shrubs and bushes , under a sparse canapy of eucalypts .""",sparse,limited:4 scattered:3 small:8 thin:23 few:3 little:1 skimpy:3 light:2 bare:2 scant:1 slim:1
"""The theory of incentive compatibility that Hurwicz developed changed the way many economists thought about outcomes , explaining why centrally planned economies may fail and how incentives for individuals make a difference in decision making .""",incentives,awards:3 bribes:2 benefits:3 rewards:20 goals:1 bait:1 bonuses:4 motivations:4 motivation:1 prizes:2 temptations:1 motives:3 gift:1 baits:1 payments:1 boost:1 stimulants:1 encouragements:1
"""The axe , or ax , is an implement that has been used for millennia to shape , split and cut wood , harvest timber , as a weapon and a ceremonial or heraldic symbol . The axe has many forms and specialized uses but generally consists of an axe head with a handle , or helve .""",implement,tool:44 instrument:5 item:1 device:1
But critics note that Francis Galton did not advocate coercion when he defined the principles of eugenics .,advocate,like:1 cause:1 support:20 endorse:3 promote:11 encourage:1 apply:1 suggest:3 speak:1 for:1 favor:1 allow:2 want back:1 recommend:1 want:1 agree with:1 state:1
"""After its sale in 1998 , it merged into Festival Mushroom Records .""",merged,combined:16 joined:14 mixed:1 turned:4 absorbed:1 united:2 converged:1 formed:4 changed:3 became part of:1 grew:1 blended:2 fused:1
Cobra and Tango and Cash did solid business domestically but overseas they did blockbuster business grossing over $ 100 million in foreign markets and over $ 160 million worldwide .,grossing,earning:23 making:19 gaining:4 totaling:2 getting:1 bringing:1 bringing in:1
"""Triangles can also be classified according to their internal angles , measured here in degrees .""",classified,grouped:17 categorized:6 arranged:3 labeled:1 named:3 divided:1 organized:6 separated:1 sorted:5 defined:2 listed:1 identified:1 described:2 called:1 coded:1
"""Later describing the experience as a `` nightmare , '' she was able to phone Joe DiMaggio from the clinic , who immediately traveled from Florida to New York to facilitate her transfer to the Columbia Presbyterian Medical Center , where she remained for three weeks .""",facilitate,ease:8 assist:4 help:20 aid:5 expedite:2 start:2 make easier:1 complete:1 further:1 arrange:1 oversee:1 orchestrate:1 assist in:1 allow:1 enable:1 escape:1
"""The Pennines constitute the main watershed in northern England , dividing the eastern and western parts of the country .""",constitute,make up:15 makes:1 brand:1 make:4 are:11 form:8 compose:1 comprise:1 controlled:1 complete:1 allow:1 embody:1 include:1 contain:1 frame:2 create:1
"""They locate food by smell , using sensors in the tip of their snout , and regularly feast on ants and termites .""",snout,nose:51
"""At present it is formed by the Aa , which descends from the Rigi and enters the southern extremity of the lake .""",extremity,part:7 outside:1 end:15 border:6 edge:7 tip:2 portion:1 leg:1 side:1 arm:1 point:1 boundary:2 limb:1 sides:1 area:1 section:1 depth:1 farthest:1
"""Specialized English operates in the civil society sector , and the developers aspire to make programs for a variety of public service purposes , subject to resources being available .""",aspire,hope:22 dream:6 strive:3 desire:1 aim:3 intend:1 seek:2 wish:1 hopes:1 try:6 want:3 crave:1 plan:1
"""In this case , a relatively large kernel with sophisticated capabilities is adapted to suit an embedded environment .""",sophisticated,complex:12 advanced:8 complicated:4 refined:2 high:1 tech:1 mature:1 sharp:2 fancy:5 smart:4 various:1 experienced:1 better:1 many:2 elegant:1 exceptional:2 cultured:2 special:1 enhanced:1
This period spanned the years from 1278 through 1288 .,spanned,covered:19 stretched over:1 included:1 lasted:17 stretched:1 bridged:1 extended:2 ranged:2 was:1 connected:1 used:1 involved:1 was between:1 covers:1 lasted from:1
"""Realising that the gang could not elude the police forever , Moondyne Joe formulated a plan to escape the colony by traveling overland to the colony of South Australia .""",elude,escape:16 lose:1 hide from:4 evade:4 outrun:1 avoid:18 dodge:2 puzzle:1 run from:2 ditch:1 trick:1
"""Southeastern Oklahoma , also known by its official tourism designation , Kiamichi Country , encompasses the southeastern quarter of the state of Oklahoma .""",encompasses,makes up:3 covers:9 encircles:1 fills:1 includes:13 surrounds:11 is filled by:1 contains:4 forms:1 spans:1 occupies:1 is:1 place:1 takes up:1 envelopes:1 circles:1
The A-train family comprises trains for both commuter services and limited express services .,comprises,makes up:5 has:7 makes:4 contains:10 is made of:2 includes:14 made:1 is:2 consists of:1 is made up of:1 involves:1 include:1 harden:1 produces:1
"""In DNA , adenine binds to thymine via two hydrogen bonds to assist in stabilizing the nucleic acid structures .""",binds,adheres:4 combines:1 ties:2 attaches:16 holds:3 sticks:10 links:1 connects:9 bonds:1 joins:3 clings:1
"""In 2001 , UNESCO inscribed the 2,750-year-old city on the World Heritage List as Samarkand - Crossroads of Cultures .""",inscribed,put:2 engraved:1 registered:4 wrote:13 listed:2 etched:3 endorsed:2 inducted:1 dubbed:1 added:4 included:1 named:3 marked:3 recorded:4 labeled:1 dedicated:1 entered:1 carved:2 designated:1 written:1
"""Radames affirms that Aida is the person he will marry , and Aida convinces him to flee to the desert with her .""",affirms,says:5 confirms:11 repeats:1 declares:4 agrees:12 states:4 promises:3 decides:1 assures:1 guarantees:1 support:1 swears:2 announces:1 validates:1 again:1 acknowledges:1 attests:1 asserts:1
"""Like many Bolshevik artists , Eisenstein envisioned a new society which would subsidize artists totally , freeing them from the confines of bosses and budgets , leaving them absolutely free to create , but budgets and producers were as significant to the Soviet film industry as the rest of the world .""",envisioned,imagined:25 saw:9 pictured:5 visualized:1 dreamed:3 dreamed of:4 conceptualized:1 viewed:1 foresaw:1 thought up:1
"""Forming in the western Caribbean sea during the first week of November , Hurricane Gordon became the twelfth tropical depression , the seventh named tropical storm , and the third hurricane of the 1994 Atlantic hurricane season . An erratic , long-lived system which remained a tropical storm for most of its existence , it followed a winding path through the western Caribbean and into Florida before strengthening into a Category 1 hurricane and threatening North Carolina .""",erratic,varied:2 wavering:1 unpredictable:24 chaotic:2 crazy:5 wild:2 odd:1 unusual:3 random:1 unstable:2 irregular:2 wandering:1 strange:1 uneven:1 oddball:1 uncertain:1 not:1 foreseen:1
"""The latter means basic or radical change ; whereas reform may be no more than fine tuning , or at most redressing serious wrongs without altering the fundamentals of the system .""",altering,changing:51
"""The Kyoto Protocol was adopted at the third session of the Conference of Parties to the UNFCCC in 1997 in Kyoto , Japan .""",adopted,signed:4 accepted:20 embraced:3 assumed:1 decided:1 on:1 used:4 initiated:1 approved:3 chosen:4 selected:3 supported:1 started:2 passed:2 ratified:1 instated:1
"""From 1885 to 1901 , locomotives stopped at Young Tank to replenish their water .""",replenish,refill:42 resupply:2 renew:1 re-up:1 fill:2 reload:1 replace:1 gather:1
Stone floor tiles tend to be heavier than ceramic tiles and somewhat more prone to breakage during shipment .,prone,likely:26 incline:1 apt:3 subject:3 liable:3 able:1 inclined:2 vulnerable:3 open:1 probable:1 susceptible:4 disposed:2 easier:1
"""To enjoy qin songs , one must learn to become accustomed to the eccentric style some players may sing their songs to , like in the case of Zha Fuxi .""",eccentric,odd:13 unique:5 varying:1 unusual:9 different:4 bizarre:2 fancy:2 strange:5 abnormal:1 uncommon:2 weird:2 crazy:2 quirky:1 wild:1 wacky:1
A voluntary association or union is a group of individuals who voluntarily enter into an agreement to form a body to accomplish a purpose .,accomplish,finish:4 achieve:20 do:3 complete:10 serve:2 fulfill:6 make:1 reach:2 finis:1 carry:1 out:1 attain:1
"""It is the teaching that , as a consequence of the Fall of Man , every person born into the world is enslaved to the service of sin and , apart from the efficacious or prevenient grace of God , is utterly unable to choose to follow God or choose to accept salvation as it is freely offered .""",efficacious,ever:1 present:1 showy:1 useful:1 effective:16 capable:5 strong:2 valuable:1 powerful:5 active:5 efficient:2 helpful:1 generous:1 power:1 kindness:1 effect:1 successful:1 potent:1 productive:3 influential:1 impelling:1
He was kidnapped and held by the notorious Pirate Peter Easton in Harbour Grace .,notorious,infamous:22 wicked:1 famous:12 well:1 known:2 well-known:2 feared:1 mean:2 bad:1 legendary:1 shameful:1 popular:1 evil:3 flagrant:1 ill-famed:1
"""As a result of this acquisition and the legal dispute with Hearst Corporation , Mandrakesoft announced that the new company name would be Mandriva , and that Mandriva Linux would be the new name covering products .""",dispute,argument:18 fight:11 problem:1 disagreement:9 trouble:1 confrontation:1 issue:1 gain:1 differences:1 battle:2 debate:2 conflict:2 complaint:1
"""Despite almost daily reports of missing property , he was able to evade capture until 15 February , when a man named Wimbow , who had been pursuing him with a partner for days , found him in an area of thick brush called Liberty Plains and shot him .""",evade,escape:17 avoid:28 elude:2 not:1 be:1 dodge:3
"""He was born at Plessiel , a hamlet of Drucat near Abbeville , to a long-established family of Picardy , the great-nephew of the painter Eustache Le Sueur .""",hamlet,small:1 village:25 neighborhood:1 town:10 suburb:3 house:1 community:6 small village:1 small town:1 place:1 division:1 district:1
The Man in the High Castle occurs in an alternate universe United States ruled by the victorious Axis powers .,alternate,varied:1 other:6 different:30 opposite:2 imaginary:1 another:4 separate:2 variant:1 mirror:1 parallel:2 recurrent:1
Their quick acceleration makes them suitable for services with short intervals between stations .,suitable,appropriate:11 good:7 okay:4 applicable:1 acceptable:9 fitting:3 useful:5 usable:2 ideal:2 excellent:1 fit:2 convenient:1 apt:2 perfect:1
Aung San Suu Kyi returned to Burma in 1988 to take care of her ailing mother .,ailing,ill:5 sick:36 sickly:3 dying:3 distressed:1 sickening:1 suffering:2
"""Progress in developing the TAR was hindered by political and economic obstacles throughout the 1960s , 1970s and early 1980s .""",obstacles,blockages:2 barriers:5 hurdles:4 hurdle:1 problems:14 obstructions:1 setbacks:1 blocks:3 challenges:3 interference:1 distractions:1 bumps:1 difficulty:1 hoops:1 difficulties:3 dangers:1 troubles:1 hardships:1 lows:1 issues:2 hindrances:1 items:1 barrier:1
"""In 1832 his family emigrated thence to Belleville , Ontario , where he apprenticed with the printer at the town newspaper , The Belleville Intelligencer .""",emigrated,moved:41 moved abroad:1 came:3 traveled:2 migrated:2 left:1 departed:1
"""Ohio State also announced in 2006 , that it would be designating at least $ 110 million of its research efforts to what it termed `` fundamental concerns '' such as research towards a cure for cancer , renewable energy sources and sustainable drinking water supplies .""",fundamental,important:8 basic:26 money:1 central:1 major:3 primary:3 vital:2 critical:1 core:2 main:1 crucial:1 essential:1 principal:1
"""Long ago , there was a decision by the late former Prime Minister , Rafik Hariri , to restore the synagogue and surround it with a garden .""",restore,remodel:1 redo:1 fix:22 rebuild:16 bring back:2 save:1 repair:5 renovate:1 remake:1 revive:1
"""Port Arthur was also the destination for juvenile convicts , receiving many boys , some as young as nine arrested for stealing toys .""",juvenile,childish:1 young:32 under-age:1 child:6 kid:1 younger:2 underage:3 youth:1 children:1 adolescent:2 minor:1
"""Notrium is played from a top-down perspective , giving an overhead view of proceedings .""",perspective,viewpoint:9 view:33 angle:3 point-of-view:4 outlook:2
"""The International re-formed in 1923 , and was reconstituted again , in its present form , after World War II .""",reconstituted,reinstated:1 rebuilt:10 remade:8 restored:3 formed:3 reformed:5 fixed:1 redeveloped:1 restarted:2 reestablished:2 copied:1 built:1 revived:1 redone:1 renewed:1 recomposed:1 rewritten:1 reworked:1 reconstructed:1 created:1 reorganized:2 allowed:1 recreated:3
The Amazon Basin is the part of South America drained by the Amazon River and its tributaries .,tributaries,streams:18 branches:16 riverlets:1 adjacent:1 smaller rivers:3 channels:2 rivers:5 brooks:1 ditches:1 children creeks:1 offshoots:1 creeks:1
The Sunnah is seen as crucial to guiding interpretation of the Qur ` an .,crucial,essential:5 important:31 critical:2 vital:6 key:1 necessary:5 needed:1
"""The Avesta is the primary collection of sacred texts of Zoroastrianism , composed in the Avestan language .""",composed,written:40 made:5 created:4 collected:1 constructed:1
"""Typically , the biggest difference between film and stage musicals is the use of lavish background scenery which would be impractical in a theater .""",lavish,extravagant:4 rich:4 fancy:14 complicated:1 expensive:3 plentiful:2 elaborate:2 flamboyant:1 special:1 pretty:1 impressive:2 garish:1 nice:1 generous:2 wild:1 excessive:1 big:1 detailed:1 gaudy:1 complex:1 splendid:1 grand:1 lively:1 extensive:1 luxurious:1 lush:1
"""Following The Hassles ' demise in 1969 , he formed the duo Attila with Hassles drummer Jon Small .""",demise,fall:8 death:12 breakup:10 end:6 ended:1 downfall:6 failure:3 destruction:1 fate:1 ending:1 decline:1 crumble:1
"""There they signed a collective protest , and vowed their newspapers would continue to run .""",vowed,promised:42 pledged:2 swore:3 declared:1 assured:2 said:1
"""The first amniotes , such as Casineria , resembled small lizards and evolved from amphibian reptiliomorphs about 340 million years ago .""",resembled,match:3 seemed like:1 looked like:26 duplicate:1 mimicked:1 mirrored:5 mirror:1 were like:1 matched:4 were:1 appear like:1 emulated:1 echoed:1 appeared:1 matching:1 doubled:1 features:1
"""In 1999 , a World Tamil Confederation was established to protect and foster Tamil culture and further a sense of togetherness amongst Tamils in different countries .""",foster,support:12 accommodate:1 promote:7 care:1 encourage:5 previous:1 adopt:1 grow:6 advance:1 uphold:1 nurture:6 cultivate:2 protect:1 raise:2 serve:1 help:2 started:1
"""For much of the twentieth century it was used by the Queensland Government as a settlement for Aboriginals considered guilty of such infractions as being "" disruptive "" , being pregnant to a white man or being born with  "" mixed blood "" .""",infractions,crimes:28 errors:1 violations:9 faults:1 disobediences:1 charges:1 offenses:3 disturbances:1 wrongdoings:1 penalties:1 trouble:1 laws:1 vices:1 rules:1
"""Historically , in the warm Mediterranean and Middle Eastern climates , the courtyard served to accommodate the large number of worshippers during Friday prayers .""",accommodate,hold:24 house:9 support:2 fit:3 holds:1 aid:3 serve:1 gather:1 provide for:1 accept:2 contain:1 lodge:1 shelter:1 host:1
John McCain polled 62.5 % in the 2008 Presidential Election while 70.9 % of Utahns opted for George W. Bush in 2004 .,opted,voted:21 chose:14 choose:2 elected:1 decided:5 selected:1 went:3 marked:1 settled:1 hoped:1 preferred:1
"""Throughout most of the film , his only true friend , aside from his mother , is the mouse , Timothy - a relationship parodying the stereotypical animosity between mice and elephants .""",animosity,unfriendliness:2 dislike:11 hatred:18 hostility:3 fighting:1 tension:4 anger:1 hate:5 conflict:1 rivalry:1 problem:1 difference:1 enmity:1 bitterness:1
"""The band is known for its large line-up , which consists of nine members ; including a vocalist , two guitarists , a bassist , two percussionists in addition to a primary drummer , a sampler , and a turntablist .""",vocalist,singer:51
Digital signatures are equivalent to traditional handwritten signatures in many respects ; properly implemented digital signatures are more difficult to forge than the handwritten type .,forge,copy:12 fake:29 falsify:1 make:3 duplicate:2 recreate:1 create:3
"""His linguistic capacity , thoughts and speeches correspond to those of modern man , including a vast knowledge about history , politics , philosophy and literature .""",vast,wide:8 huge:7 large:19 great:10 deep:1 broad:2 voluminous:1 lot of:2 boundless:1
"""Recent archaeological evidence may indicate an Edomite nation as long ago as the 11th century BC , but the topic is controversial and others argue that the 8th or 9th century dates are correct .""",evidence,clues:4 proof:25 findings:9 finds:2 facts:2 signs:1 records:1 data:2 indication:1 discoveries:2 items:1 verification:1
Triton was revealed to have remarkable active geysers and polar caps .,remarkable,real:1 extraordinary:3 incredible:5 amazing:20 notably:1 exceptional:1 unusual:1 impressive:3 awesome:3 great:3 super:1 outstanding:1 very:1 huge:1 interesting:2 wonderful:1 significant:1 noteworthy:1 beautiful:1
"""Polar bear fur consists of a layer of dense underfur and an outer layer of guard hairs , which appear white to tan but are actually transparent .""",transparent,clear:42 see through:7 translucent:1 colorless:1
The most common reason for erecting a khachkar was for votive reasons - for the salvation of the soul of either a living or a deceased person .,deceased,dead:50 building:1
"""Scene 2 : The Doctor rushes by the Captain in the street , who urges him to slow down .""",urges,convinces:2 encourages:4 wants:3 tells:10 presses:1 suggest:1 warn:1 begs:7 demands:1 forces:2 desired:1 spurs:1 asked:2 provokes:1 suggests:3 asks:8 desire:1 encourage:1 persuades:1
Warner also set a Super Bowl record by attempting 45 passes without a single interception .,attempting,trying:41 throwing:4 making:1 pursuing:1 try:1 make:1 tried:1 pursing:1
"""A carotenoid dye , crocin , allows saffron to impart a rich golden-yellow hue to dishes and textiles . Saffron has further medicinal applications .""",golden-yellow,marigold:2 yellow:13 gold:11 orange:2 lemon-like:1 golden:3 gold color:1 sunshine:3 amber:1 yellowish:6 bronze:2 bright yellow:1 ochre:1 colored:1 yellow color:1 goldenrod:1
The revival of lute in the 20th century revitalized the interest of composers in the instruments of the lute family .,revival,restart:2 reintroduction:1 comeback:8 awakening:2 restoration:1 return:12 rebirth:13 recovery:2 reuse:1 renewal:3 remake:1 reemergence :1 comback:1 coming back:1 reformation:1
Urepel is a commune in the PyrÌ©nÌ©es - Atlantiques department in south-western France .,south-western,south:3 bottom:1 southern:17 part:1 lower:13 lower left:1 southwest:5 bottom left of:1 south-west:2 south west:2 the bottom of:1 lower-left:1 sw:1 western:1
"""GeÌ_lson de Carvalho Soares or simply GeÌ_lson , is a striker .""",striker,hitter:17 looker:1 demonstrator:1 forward:5 trouble-maker:1 player:4 picketer:1 soccer player:3 worker:1 protester:1 batter:1 attacker:2 boy cotter :1 protester :1 protestor:2 foreward:1 sportsman:1 footballer:1 scorer:1 kicker:1 bad guy:1 player :1  forward:1
"""Lancelot de Carles called her `` beautiful with an elegant figure '' , and a Venetian in Paris in 1528 also reported that she was said to be beautiful .""",reported,said:25 told:3 stated:10 wrote:4 declared:1 indicated:1 noted:3 claimed:1 announced:1 mentioned:1
"""In 2005 , Benson collaborated with artist Jamie McKelvie on a short story within the Image Comics collection Four Letter Worlds .""",collaborated,worked:40 cooperated:1 coproduced:1 joined:2 worked together:1 helped:1 worked with:2 partnered:1 teamed:1
Beaurieux is a commune in the department of Aisne in Picardy in northern France .,department,section:9 part:1 district:1 area:21 town:2 office:1 state:1 region:2 arena:1 location:2 agency:3 branch:3 category:1 division:2
He is notable as a performer of Australian traditional folk songs in an authentic style .,performer,singer:27 entertainer:6 player:4 artist:5 musician:5 actor:2 worker:1
"""Fired by enthusiasm , Tolstoy returned to Yasnaya Polyana and founded thirteen schools for his serfs ' children , based on ground-breaking libertarian principles Tolstoy described in his 1862 essay `` The School at Yasnaya Polyana '' .""",enthusiasm,excitement:16 joy:2 intensity:2 interest:4 excitment:3 inspiration:1 happiness:3 energy:5 excitedness:1 motivation:1 devotion:1 passion:3 eagerness:3 spirit:1 gusto:2 vigor:1
"""Companies may also take out strike insurance prior to an anticipated strike , to help offset the losses which the strike would cause .""",companies,businesses:35 workplaces:2 business' :1 firms:3 groups:1 organizations:2 offices:1 businesses :2 bosses:1 places:1 businnesses:1
"""In 2006 , Nippon Ichi released a sequel called for the PlayStation 2 , as well as a 12 episode long anime titled Makai Senki Disgaea .""",titled,called:15 named:33 names:1 entitled:1
"""The False gharial , also known as the Malayan gharial , false gavial , or Tomistoma is a fresh-water reptile resembling a crocodile with a very thin and elongated snout , which is thicker than the gharial .""",elongated,longer:1 long:42 stretched:2 lengthy:1 thin:1 extended:2 lengthened:1
"""He held several senior positions in the Royal Flying Corps during World War I , serving as the commander of Royal Flying Corps in France from 1915 to 1917 .""",senior,high-level:2 older:4 upper:2 top:6 higher:8 high:15 superior:1 important:2 veteran:1 head:1 advance:1 top-level:1 advanced:2 leader:1 chief:1 principal:1 big :1
